County,Driver,Passenger,Pedalcyclist,Pedestrian,Fatalities,Crashes
Atlantic,19,11,0,11,41,37
Bergen,12,2,1,24,39,37
Burlington,17,1,0,13,31,31
Camden,17,4,0,17,38,38
Cape May,8,3,0,1,12,11
Cumberland,13,2,0,3,18,17
Essex,14,8,1,17,40,33
Gloucester,21,2,1,7,31,30
Hudson,7,9,1,7,24,22
Hunterdon,3,1,1,1,6,6
Mercer,16,3,0,7,26,25
Middlesex,20,6,0,7,33,32
Monmouth,27,4,3,13,47,45
Morris,7,4,0,3,14,13
Ocean,26,5,0,14,45,44
Passaic,16,3,0,5,24,23
Salem,13,5,0,1,19,15
Somerset,17,2,2,4,25,24
Sussex,4,1,0,2,7,7
Union,12,4,1,13,30,27
Warren,6,0,0,0,6,6
Total,295,80,11,170,556,523
