County,Driver,Passenger,Pedalcyclist,Pedestrian,Fatalities,Crashes
Atlantic,15,5,0,12,32,30
Bergen,16,5,2,19,42,40
Burlington,21,4,0,8,33,29
Camden,18,4,0,24,46,45
Cape May,8,0,1,3,12,12
Cumberland,15,1,0,4,20,20
Essex,14,4,0,18,36,35
Gloucester,24,7,1,10,42,39
Hudson,9,3,2,5,19,19
Hunterdon,4,1,0,1,6,6
Mercer,9,2,1,9,21,21
Middlesex,27,10,2,8,47,42
Monmouth,19,5,1,11,36,33
Morris,13,10,0,6,29,25
Ocean,24,5,0,10,39,37
Passaic,17,2,2,10,31,27
Salem,6,2,0,1,9,8
Somerset,5,2,0,4,11,11
Sussex,11,2,0,1,14,13
Union,8,5,0,10,23,23
Warren,6,2,0,2,10,9
Total,289,81,12,176,558,524
